startedAt,method,path,status,ok,ms,reqId
2026-07-22T16:18:33.244Z,GET,/work/4491c9eb-f6aa-49ff-9929-0145b8cc929d,200,1,70.193,d69e06cd-a60a-4485-8385-0f87e652f7f0
2026-07-22T16:18:33.357Z,POST,/orders/,200,1,47.471,9182c68d-8191-40ba-ae19-490f2bb62679
2026-07-22T16:18:33.379Z,GET,/orders/a33cedd7-23a3-4040-a7d7-73651101fc10,200,1,69.042,b08ffc21-d80f-4c99-a115-5ba9a2cd1a01
2026-07-22T16:18:33.417Z,GET,/orders/46a0aae7-a9d1-4756-950e-a1ee83f20dd0,200,1,74.311,b386432c-6843-428a-a5f2-4b6b2a1000c9
2026-07-22T16:18:33.454Z,GET,/customers/?page=1&pageSize=10,200,1,83.930,1886b085-04fe-4795-8b15-cc57e3cb92be
2026-07-22T16:18:33.404Z,PATCH,/users/change-password,200,1,134.901,5361042b-54a2-4484-a10e-f569a3909a0f
2026-07-22T16:18:33.495Z,GET,/users/?page=1&pageSize=10,200,1,71.871,60eb4b06-82f4-4766-864a-645f0a07a82b
2026-07-22T16:18:33.552Z,PATCH,/workers/change-role,200,1,51.132,487800a5-e2be-418b-b363-a906a2dca4de
2026-07-22T16:18:33.636Z,GET,/orders/46a0aae7-a9d1-4756-950e-a1ee83f20dd0,200,1,70.326,bf4acc52-7d55-4fc4-9201-acb1924b0ba7
2026-07-22T16:18:33.391Z,GET,/orders/?page=1&pageSize=10,200,1,328.735,d3484c9e-ffb8-4eb2-abed-277f7efdf7c2
2026-07-22T16:18:33.680Z,GET,/orders/46a0aae7-a9d1-4756-950e-a1ee83f20dd0,200,1,99.201,4937791f-71a7-4ed2-bb76-a48e0f2d9d80
2026-07-22T16:18:33.710Z,GET,/customers/?page=1&pageSize=10,200,1,102.860,051c3cf2-420f-4c2b-a68b-2e32159c0485
2026-07-22T16:18:33.475Z,GET,/customers/7c4e6097-c249-48e3-8efd-ef777a868bd1/with-cars,200,1,369.177,b9496cf1-baec-44af-b169-a93c068875dc
2026-07-22T16:18:33.730Z,PATCH,/customers/rename,200,1,116.682,5940b19d-6083-451f-9a0c-118596ec53c4
2026-07-22T16:18:33.560Z,GET,/workers/d75e1272-8222-452a-b2a5-0c3cf6bb004f,200,1,313.978,97f5d197-dcc2-4cf5-bcf7-9a9f1aa1ae81
2026-07-22T16:18:33.501Z,GET,/users/?page=1&pageSize=10,200,1,374.294,ff21b78a-af03-418e-b763-d9b949607547
2026-07-22T16:18:33.835Z,GET,/work/4491c9eb-f6aa-49ff-9929-0145b8cc929d,200,1,75.512,baaee4be-8678-4894-b795-e069f3d07743
2026-07-22T16:18:33.469Z,GET,/work/?page=1&pageSize=10,200,1,447.605,10ba3801-dd00-49cc-a67e-ab1544af6c97
2026-07-22T16:18:33.744Z,PATCH,/orders/set-priority,200,1,196.329,4cbba245-dbb8-4c27-8e17-ab1bb91fa525
2026-07-22T16:18:33.523Z,GET,/workers/?page=1&pageSize=10,200,1,419.619,7d7838a0-c7f3-43d5-839f-4ef80ecf3a2c
2026-07-22T16:18:33.890Z,GET,/customers/7c4e6097-c249-48e3-8efd-ef777a868bd1,200,1,75.178,f98d2e8f-dae2-472e-a112-6581bf65bf30
2026-07-22T16:18:33.941Z,GET,/work/?page=1&pageSize=10,200,1,88.587,816511e9-9043-4cd4-813c-e9e02853575c
2026-07-22T16:18:33.982Z,GET,/workers/d75e1272-8222-452a-b2a5-0c3cf6bb004f,200,1,122.038,894f41ef-f362-4fd5-be86-53d20ddcb894
2026-07-22T16:18:34.050Z,GET,/users/79bb35d5-481e-43ea-85de-0ad673a90bea,200,1,185.014,60faf0ca-0cf5-40aa-b899-cb8652ac960c
2026-07-22T16:18:34.140Z,GET,/orders/?page=1&pageSize=10,200,1,120.527,6841a95b-3f52-4c3b-bab4-7c5f38100638
2026-07-22T16:18:33.693Z,GET,/cars/?page=1&pageSize=10,200,1,587.836,c76f4ae3-939c-40b6-93f5-619a0264c16d
