model,class,resource,demand_ms,demand_seconds,lambda
M7g_gp3_mCQRS,CreateCommand,EventStore,0.3400000000,0.000340000000,2941.1764705882
M7g_gp3_mCQRS,CreateCommand,ProjectionDB,0.0000000000,0.000000000000,1000000000000.0000000000
M7g_gp3_mCQRS,UpdateCommand,AppService,2.5000000000,0.002500000000,400.0000000000
M7g_gp3_mCQRS,UpdateCommand,SnapshotDB,0.8900000000,0.000890000000,1123.5955056180
M7g_gp3_mCQRS,UpdateCommand,EventStore,0.2900000000,0.000290000000,3448.2758620690
M7g_gp3_mCQRS,UpdateCommand,ProjectionDB,0.0000000000,0.000000000000,1000000000000.0000000000
M7g_gp3_mCQRS,ReachConsistency,AppService,2.0577777778,0.002057777778,485.9611231102
M7g_gp3_mCQRS,ReachConsistency,SnapshotDB,0.0000000000,0.000000000000,1000000000000.0000000000
M7g_gp3_mCQRS,ReachConsistency,EventStore,0.0000000000,0.000000000000,1000000000000.0000000000
M7g_gp3_mCQRS,ReachConsistency,ProjectionDB,0.8033333333,0.000803333333,1244.8132780083
M7i_gp3_Classical_CQRS,Query,AppService,0.3800000000,0.000380000000,2631.5789473684
M7i_gp3_Classical_CQRS,Query,SnapshotDB,0.0000000000,0.000000000000,1000000000000.0000000000
M7i_gp3_Classical_CQRS,Query,EventStore,0.0000000000,0.000000000000,1000000000000.0000000000
M7i_gp3_Classical_CQRS,Query,ProjectionDB,0.6500000000,0.000650000000,1538.4615384615
M7i_gp3_Classical_CQRS,CreateCommand,AppService,0.3700000000,0.000370000000,2702.7027027027
M7i_gp3_Classical_CQRS,CreateCommand,SnapshotDB,0.1466666667,0.000146666667,6818.1818181818
M7i_gp3_Classical_CQRS,CreateCommand,EventStore,1.4533333333,0.001453333333,688.0733944954
M7i_gp3_Classical_CQRS,CreateCommand,ProjectionDB,0.0000000000,0.000000000000,1000000000000.0000000000
M7i_gp3_Classical_CQRS,UpdateCommand,AppService,0.8672727273,0.000867272727,1153.0398322851
M7i_gp3_Classical_CQRS,UpdateCommand,SnapshotDB,0.6727272727,0.000672727273,1486.4864864865
M7i_gp3_Classical_CQRS,UpdateCommand,EventStore,1.6100000000,0.001610000000,621.1180124224
M7i_gp3_Classical_CQRS,UpdateCommand,ProjectionDB,0.0000000000,0.000000000000,1000000000000.0000000000
M7i_gp3_Classical_CQRS,ReachConsistency,AppService,1.7735714286,0.001773571429,563.8340716875
M7i_gp3_Classical_CQRS,ReachConsistency,SnapshotDB,0.0000000000,0.000000000000,1000000000000.0000000000
M7i_gp3_Classical_CQRS,ReachConsistency,EventStore,0.0000000000,0.000000000000,1000000000000.0000000000
M7i_gp3_Classical_CQRS,ReachConsistency,ProjectionDB,0.6707142857,0.000670714286,1490.9478168264
M7i_gp3_mCQRS,Query,AppService,0.4100000000,0.000410000000,2439.0243902439
M7i_gp3_mCQRS,Query,SnapshotDB,0.0000000000,0.000000000000,1000000000000.0000000000
M7i_gp3_mCQRS,Query,EventStore,0.0000000000,0.000000000000,1000000000000.0000000000
M7i_gp3_mCQRS,Query,ProjectionDB,0.6600000000,0.000660000000,1515.1515151515
M7i_gp3_mCQRS,CreateCommand,AppService,2.1466666667,0.002146666667,465.8385093168
M7i_gp3_mCQRS,CreateCommand,SnapshotDB,0.4833333333,0.000483333333,2068.9655172414
M7i_gp3_mCQRS,CreateCommand,EventStore,0.2900000000,0.000290000000,3448.2758620690
M7i_gp3_mCQRS,CreateCommand,ProjectionDB,0.0000000000,0.000000000000,1000000000000.0000000000
M7i_gp3_mCQRS,UpdateCommand,AppService,2.2300000000,0.002230000000,448.4304932735
M7i_gp3_mCQRS,UpdateCommand,SnapshotDB,0.7600000000,0.000760000000,1315.7894736842
M7i_gp3_mCQRS,UpdateCommand,EventStore,0.2300000000,0.000230000000,4347.8260869565
M7i_gp3_mCQRS,UpdateCommand,ProjectionDB,0.0000000000,0.000000000000,1000000000000.0000000000
M7i_gp3_mCQRS,ReachConsistency,AppService,1.7088888889,0.001708888889,585.1755526658
M7i_gp3_mCQRS,ReachConsistency,SnapshotDB,0.0000000000,0.000000000000,1000000000000.0000000000
M7i_gp3_mCQRS,ReachConsistency,EventStore,0.0000000000,0.000000000000,1000000000000.0000000000
M7i_gp3_mCQRS,ReachConsistency,ProjectionDB,0.6700000000,0.000670000000,1492.5373134328
M7i_io2_Classical_CQRS,Query,AppService,0.3700000000,0.000370000000,2702.7027027027
M7i_io2_Classical_CQRS,Query,SnapshotDB,0.0000000000,0.000000000000,1000000000000.0000000000
M7i_io2_Classical_CQRS,Query,EventStore,0.0000000000,0.000000000000,1000000000000.0000000000
M7i_io2_Classical_CQRS,Query,ProjectionDB,0.6200000000,0.000620000000,1612.9032258065
M7i_io2_Classical_CQRS,CreateCommand,AppService,0.3566666667,0.000356666667,2803.7383177570
M7i_io2_Classical_CQRS,CreateCommand,SnapshotDB,0.1400000000,0.000140000000,7142.8571428571
M7i_io2_Classical_CQRS,CreateCommand,EventStore,1.0333333333,0.001033333333,967.7419354839
M7i_io2_Classical_CQRS,CreateCommand,ProjectionDB,0.0000000000,0.000000000000,1000000000000.0000000000
M7i_io2_Classical_CQRS,UpdateCommand,AppService,0.9590909091,0.000959090909,1042.6540284360
M7i_io2_Classical_CQRS,UpdateCommand,SnapshotDB,0.5709090909,0.000570909091,1751.5923566879
M7i_io2_Classical_CQRS,UpdateCommand,EventStore,1.1900000000,0.001190000000,840.3361344538
M7i_io2_Classical_CQRS,UpdateCommand,ProjectionDB,0.0000000000,0.000000000000,1000000000000.0000000000
M7i_io2_Classical_CQRS,ReachConsistency,AppService,1.5950000000,0.001595000000,626.9592476489
M7i_io2_Classical_CQRS,ReachConsistency,SnapshotDB,0.0000000000,0.000000000000,1000000000000.0000000000
M7i_io2_Classical_CQRS,ReachConsistency,EventStore,0.0000000000,0.000000000000,1000000000000.0000000000
M7i_io2_Classical_CQRS,ReachConsistency,ProjectionDB,0.5800000000,0.000580000000,1724.1379310345
M7i_io2_mCQRS,Query,AppService,0.3800000000,0.000380000000,2631.5789473684
M7i_io2_mCQRS,Query,SnapshotDB,0.0000000000,0.000000000000,1000000000000.0000000000
M7i_io2_mCQRS,Query,EventStore,0.0000000000,0.000000000000,1000000000000.0000000000
M7i_io2_mCQRS,Query,ProjectionDB,0.6000000000,0.000600000000,1666.6666666667
M7i_io2_mCQRS,CreateCommand,AppService,1.6900000000,0.001690000000,591.7159763314
M7i_io2_mCQRS,CreateCommand,SnapshotDB,0.4600000000,0.000460000000,2173.9130434783
M7i_io2_mCQRS,CreateCommand,EventStore,0.2700000000,0.000270000000,3703.7037037037
M7i_io2_mCQRS,CreateCommand,ProjectionDB,0.0000000000,0.000000000000,1000000000000.0000000000
M7i_io2_mCQRS,UpdateCommand,AppService,1.7700000000,0.001770000000,564.9717514124
M7i_io2_mCQRS,UpdateCommand,SnapshotDB,0.7300000000,0.000730000000,1369.8630136986
M7i_io2_mCQRS,UpdateCommand,EventStore,0.2300000000,0.000230000000,4347.8260869565
M7i_io2_mCQRS,UpdateCommand,ProjectionDB,0.0000000000,0.000000000000,1000000000000.0000000000
M7i_io2_mCQRS,ReachConsistency,AppService,1.4977777778,0.001497777778,667.6557863501
M7i_io2_mCQRS,ReachConsistency,SnapshotDB,0.0000000000,0.000000000000,1000000000000.0000000000
M7i_io2_mCQRS,ReachConsistency,EventStore,0.0000000000,0.000000000000,1000000000000.0000000000
M7i_io2_mCQRS,ReachConsistency,ProjectionDB,0.5755555556,0.000575555556,1737.4517374517
